number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,financial_fraud_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,fake_call_center_indicator,parallel_telephone_exchange_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,government_telecom_revenue_loss,vishing_indicator,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,telegraph_act_sections,internet_banking_software_targeted,banking_password_compromised,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,suspicious_credit_not_reported,bank_correction_request_absent,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fan_in_count,fraudulent_website_count,payment_gateway_count,linked_beneficiary_account_count,card_credential_harvesting_indicator,it_act_66,it_act_66c,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,court_level_High Court,court_level_Supreme Court,court_level_Trial Court,case_type_Sec 439 CrPC (Regular Bail),case_type_Sec 482 CrPC (Quashing),case_type_Trial Judgment,case_type_Writ Petition (Detention),label_entity_role,label_high_risk_cyber_syndicate,label_bail_or_custody_relief,label_conviction_outcome
2,4,13,1,0,1,0,1,0,1,0,1,1,0.8321,1,82,1,0,1,0,1,0,1,0,1,0.6143,86,7.7795,281.69,1,1,0,0,0,1070507.84,0.1409,0,0,0,1,10.04,0,1,3,10,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0.0682,0.0328,0,0,1,1,0,0,0,5,1,1,1
1,1,2,0,0,0,0,0,0,0,0,0,0,0.3304,0,43,0,0,0,0,0,0,0,0,0,0.0699,6,1.1418,40.0,0,0,0,0,0,0.0,0.0874,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0245,0.0223,1,0,0,0,1,0,0,0,0,1,0
15,19,92,1,0,1,0,1,1,0,0,1,1,0.6268,1,37,0,1,0,0,0,0,0,0,0,0.1527,1,1.0363,134.71,0,0,0,1,1,8261066.53,0.2861,1,1,1,1,6.49,23,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0.1513,0.0425,1,0,0,1,0,0,0,4,1,0,1
2,6,55,1,0,1,0,1,0,0,0,1,1,0.5441,1,186,1,0,0,1,1,1,1,1,0,0.587,159,5.243,34.48,1,1,1,0,0,1812110.64,0.1835,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.7313,0.5275,1,0,0,0,1,0,0,1,1,1,0
1,3,2,0,0,0,1,0,0,0,1,0,1,0.74,1,169,0,0,0,0,0,0,0,0,0,0.1123,6,1.2558,139.53,0,0,0,0,0,3516.75,0.1182,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,2,0.0987,0.0899,1,0,0,0,1,0,0,2,0,1,0
1,1,2,0,0,0,1,0,0,0,1,0,1,0.5424,1,33,1,1,0,0,0,0,0,0,0,0.0,1,1.1234,116.53,0,0,0,0,0,41788.18,0.1944,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,1,1,1,0,0,1,2,0.0231,0.021,0,0,1,1,0,0,0,2,0,1,0
4,3,2,0,0,0,1,1,1,0,1,0,1,0.702,1,95,1,0,0,0,0,0,0,0,0,0.0522,7,1.0333,131.24,0,0,0,0,0,31127.56,0.0233,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,1,1,0,1,0,1,1,0.0126,0.0182,0,0,1,0,1,0,0,0,0,1,0
1,3,2,0,0,0,0,0,0,0,0,0,0,0.2509,0,29,0,0,0,0,0,0,0,0,0,0.041,2,1.0931,112.21,0,0,0,0,0,0.0,0.1663,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0196,0.0142,0,0,1,0,1,0,0,0,0,1,0
1,25,26,1,0,1,0,1,0,0,0,1,1,0.4837,1,250,1,1,0,1,1,1,1,1,0,0.7217,235,7.6391,54.3,1,1,1,0,0,143800.88,0.1736,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0.1885,0.0526,0,0,1,0,1,0,0,4,1,1,0
4,18,33,1,0,1,0,1,0,0,0,1,1,0.9049,1,58,0,1,0,0,0,0,0,0,0,0.0679,6,1.0,82.5,0,0,0,1,1,6171689.71,0.8338,1,1,1,1,1.01,20,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0.271,0.1027,0,0,1,1,0,0,0,4,1,0,1
